time,cumate,od,fluorescence,phi,growth_rate,production_rate,od_se,fluorescence_se,phi_se,growth_rate_se,production_rate_se
14.27027778,125,0.339666667,97.66666667,302.8402203,0.14474929,105.2693015,0.028605608,1.290994449,23.64600675,0.042107958,34.58916292
14.55555556,125,0.341055556,98.22222222,304.1361758,0.12675928,88.02393769,0.029356828,1.431566525,24.49649354,0.024346297,41.94488359
0,250,0.087711111,9.111111111,104.034279,0.502573507,688.315344,0.001443611,0.111111111,1.633843931,0.122176217,184.0895024
0.285555556,250,0.093288889,14.66666667,157.5578812,0.435870149,512.809939,0.002357756,0.333333333,3.293155378,0.061331287,213.9278493
0.571111111,250,0.099011111,29.33333333,292.8843631,0.443864847,322.900233,0.002207654,3.05050087,25.15559877,0.099456906,280.8899408
0.856388889,250,0.109588889,54,480.7884268,0.420019977,144.1651314,0.003381586,7.220726341,50.76301649,0.081927931,290.8153503
1.141944444,250,0.1223,81.66666667,649.1050647,0.35313117,64.39775216,0.004560793,11.34680572,68.20697218,0.099268071,258.6636971
1.427222222,250,0.138988889,112.1111111,783.0610485,0.324349469,-52.12449134,0.00680101,15.55585317,76.22064066,0.078032047,178.8904013
1.712777778,250,0.158155556,152.1111111,938.4558656,0.270616893,-214.8466959,0.009660603,19.82103571,76.17752345,0.057990422,96.00165743
1.998055556,250,0.180677778,179.2222222,973.2684582,0.145424981,-260.8078598,0.012614815,23.30699572,77.27451378,0.04253576,37.36109022
2.283611111,250,0.200511111,192.4444444,950.9340266,0.09129929,-259.9401009,0.014359148,23.76687185,73.78117144,0.020969577,18.11638565
2.568888889,250,0.211488889,188.3333333,889.2851926,0.086426356,-213.5785799,0.014658951,22.51542681,74.00825777,0.028430678,28.48784593
2.854166667,250,0.217377778,173,798.6192822,0.083897402,-164.2686564,0.013647393,20.24845673,72.93443929,0.018070939,27.18756071
3.139722222,250,0.224422222,151.4444444,681.4324307,0.08038401,-113.8230915,0.014168841,17.18858723,65.31035298,0.026709076,17.04154117
3.425,250,0.232666667,129.8888889,570.46498,0.063429057,-70.03315742,0.015586916,13.75827473,57.47455315,0.034007924,16.05072487
3.710555556,250,0.235788889,111.6666667,488.2915744,0.049488115,-41.45796096,0.016859884,10.60267262,49.43196036,0.023270242,10.51781442
3.995833333,250,0.239466667,98.11111111,426.5211426,0.048970382,-20.52211003,0.017977803,8.172522466,43.88407866,0.017889204,9.902980126
4.281388889,250,0.246388889,88,373.8578576,0.058893277,-8.380090362,0.019044578,6.164414003,37.50564161,0.010684451,5.494115198
4.566666667,250,0.252055556,80.77777778,337.4954839,0.033604153,-2.962284784,0.020049225,4.569761049,33.33940422,0.011626626,6.332096607
4.851944444,250,0.254911111,76.22222222,316.2881265,0.05369714,-3.289072603,0.020692366,3.430977257,31.0044751,0.008636594,6.116185757
